Device Info:
Type:,Intel RealSense D435
HW Id:,0B07
Serial Num:,819112072284
Firmware Ver:,05.11.01.00

Streaming profile:
Stream,Format,Resolution,FPS
Depth,Z16,1280x720,30
Infrared 1,Y8,1280x720,30

Environment:
Plane-Fit_distance_mm,2594,208252
Ground-Truth_Distance_mm,2575

Sample Id,Frame #,Timestamp (ms),Fill-Rate %,Z Accuracy %,Plane Fit RMS Error %,Subpixel RMS Error (pixel),
0,19303,711439.6962,100.0000,0.5733,41.3823,0.1769,
1,21319,711796.7369,99.9932,0.6992,40.0630,0.1708,
2,21329,712160.9192,99.9844,0.5894,40.2959,0.1734,
3,21339,712593.4000,100.0000,0.8004,38.1277,0.1625,
4,21350,713113.9798,99.9607,0.7358,38.9346,0.1671,
5,21360,713632.1943,99.9932,0.7414,39.5446,0.1702,
6,21374,714151.2217,100.0000,0.5784,42.0842,0.1796,
7,21388,714686.5476,100.0000,0.7176,41.1336,0.1762,
8,21402,715202.2905,100.0000,0.6478,39.8605,0.1705,
9,21417,715782.8353,100.0000,0.7422,40.2880,0.1728,
10,21437,716362.3854,100.0000,0.6773,38.8928,0.1668,
11,21453,716935.1445,99.9973,0.8494,39.6243,0.1691,
12,21470,717545.7803,99.9885,0.4034,41.0876,0.1762,
13,21497,718187.8437,99.9973,1.0298,41.5590,0.1778,
14,21509,718764.4548,99.9966,0.6710,38.9137,0.1673,
15,21530,719348.2007,99.9986,0.6832,39.4851,0.1695,
16,21538,719893.1963,100.0000,0.7807,39.1929,0.1683,
17,21554,720433.5629,100.0000,0.8281,39.4504,0.1693,
18,21575,721092.6714,100.0000,0.9794,39.4106,0.1688,
19,21591,721634.3319,99.9959,0.8928,39.7568,0.1692,
20,21610,722270.5337,100.0000,0.7856,41.0033,0.1756,
21,21635,722936.4955,100.0000,0.7919,41.3584,0.1765,
22,21650,723516.9431,100.0000,0.8966,39.1656,0.1664,
23,21667,724236.6515,100.0000,0.8555,40.0254,0.1706,
24,21693,724815.4097,100.0000,0.6221,40.0892,0.1729,
25,21708,725463.9948,100.0000,0.8249,39.8770,0.1702,
26,21738,726000.9537,100.0000,0.7993,40.9670,0.1758,
27,21744,726544.5906,100.0000,0.8521,38.9525,0.1664,
28,21764,727077.3219,99.9946,0.7368,37.5183,0.1604,
29,21779,727659.4636,99.9993,0.7825,40.1239,0.1722,
30,21794,728244.5132,99.9919,0.6406,41.1863,0.1759,
31,21809,728789.2070,100.0000,0.6839,40.2870,0.1738,
32,21825,729316.0159,100.0000,0.9465,38.9270,0.1661,
33,21841,729954.1334,100.0000,0.8494,39.9489,0.1705,
34,21868,730575.1892,99.9973,0.7534,39.0456,0.1679,
35,21889,731165.4846,99.9986,0.9451,39.2348,0.1671,
36,21900,731817.3649,100.0000,0.9478,39.0218,0.1673,
37,21922,732413.7924,100.0000,0.6846,41.8728,0.1809,
38,21937,733072.4854,100.0000,0.7058,39.4592,0.1695,
39,21954,733619.3926,100.0000,0.8028,40.5847,0.1737,
40,21976,734213.2239,100.0000,0.7708,39.1946,0.1679,
41,21991,734802.1170,99.9885,0.6488,41.2814,0.1761,
42,22011,735363.6117,100.0000,0.7907,41.5812,0.1779,
43,22029,735974.0634,100.0000,0.8322,36.7338,0.1575,
44,22050,736615.6188,100.0000,0.9717,38.3049,0.1632,
45,22062,737255.4423,99.9702,0.8270,39.4575,0.1685,
46,22085,737801.6961,99.9749,0.8081,39.4885,0.1693,
47,22101,738417.4837,99.9871,0.8357,41.8491,0.1784,
48,22119,739014.2801,99.9939,0.8719,38.7579,0.1663,
49,22140,739566.1148,99.9919,0.7390,39.3344,0.1695,
50,22153,740135.1675,99.9641,0.8440,38.9252,0.1658,
51,22172,740751.5354,99.9973,0.8665,42.6303,0.1835,
52,22192,741363.8138,100.0000,0.9808,41.7643,0.1780,
53,22205,741959.0505,99.9797,0.7738,38.3361,0.1642,
54,22222,742571.2604,99.9986,0.7848,37.6044,0.1604,
