Device Info:
Type:,Intel RealSense D435
HW Id:,0B07
Serial Num:,819112072284
Firmware Ver:,05.11.01.00

Streaming profile:
Stream,Format,Resolution,FPS
Depth,Z16,1280x720,30
Infrared 1,Y8,1280x720,30

Environment:
Plane-Fit_distance_mm,2596,385498
Ground-Truth_Distance_mm,2575

Sample Id,Frame #,Timestamp (ms),Fill-Rate %,Z Accuracy %,Plane Fit RMS Error %,Subpixel RMS Error (pixel),
0,27533,929437.2740,100.0000,1.1062,39.9624,0.1705,
1,27858,929773.8363,100.0000,1.0270,38.9095,0.1667,
2,27868,930109.9688,99.9953,1.2215,39.9742,0.1687,
3,27877,930449.3257,100.0000,1.0719,39.3965,0.1683,
4,27889,930776.9202,99.9932,1.2052,39.8150,0.1691,
5,27898,931104.4627,99.9946,1.0088,39.4886,0.1692,
6,27907,931433.3824,99.9437,1.0641,37.8859,0.1618,
7,27919,931764.4854,99.9980,1.2596,38.9651,0.1664,
8,27928,932099.2024,99.9993,1.0494,39.2532,0.1671,
9,27939,932437.0270,99.9993,0.9775,40.0868,0.1709,
10,27949,932770.9216,99.9905,1.2246,38.3581,0.1624,
11,27958,933104.7812,99.9959,1.1502,40.0739,0.1708,
12,27970,933438.0372,100.0000,1.1617,39.9944,0.1696,
13,27979,933780.7020,100.0000,1.1457,40.8546,0.1736,
14,27988,934116.7905,99.9905,1.1256,38.8297,0.1657,
15,27997,934459.0696,99.9634,1.1645,39.5306,0.1678,
16,28009,934808.3492,99.9675,1.1540,38.9629,0.1665,
17,28019,935157.6174,100.0000,0.9826,41.9564,0.1792,
18,28031,935505.3328,100.0000,1.2138,39.7431,0.1690,
19,28040,935854.1839,100.0000,1.1084,39.3943,0.1680,
20,28050,936202.9159,99.9715,1.0871,41.1545,0.1756,
21,28062,936547.3267,99.9993,1.3014,37.9428,0.1615,
22,28071,936886.6427,100.0000,1.0597,40.1407,0.1706,
23,28083,937225.9245,99.9939,1.0517,40.3458,0.1718,
24,28092,937567.6606,100.0000,1.0336,40.3085,0.1720,
25,28101,937912.9394,100.0000,1.1621,38.0946,0.1615,
26,28113,938262.5479,99.9959,1.0706,39.5968,0.1684,
27,28123,938608.0162,100.0000,1.1106,39.8261,0.1692,
28,28132,938957.1882,99.9858,0.9930,41.0169,0.1749,
29,28144,939302.8033,99.9675,1.0969,39.8701,0.1696,
30,28153,939648.5387,99.9946,1.2201,39.3488,0.1673,
31,28166,939988.9982,99.9980,1.2336,41.7582,0.1771,
32,28174,940337.4831,99.9851,1.1450,38.6420,0.1634,
33,28184,940685.1688,99.9885,0.9924,42.0079,0.1793,
34,28196,941023.0041,100.0000,1.1089,39.2944,0.1672,
35,28205,941361.6656,99.9966,1.2339,38.8871,0.1655,
36,28217,941703.1257,100.0000,1.0814,40.4019,0.1719,
37,28226,942039.4845,100.0000,1.0850,40.9463,0.1739,
38,28235,942380.0643,99.9688,1.0620,38.6115,0.1644,
