Device Info:
Type:,Intel RealSense D435
HW Id:,0B07
Serial Num:,819112072284
Firmware Ver:,05.11.01.00

Streaming profile:
Stream,Format,Resolution,FPS
Depth,Z16,1280x720,30
Infrared 1,Y8,1280x720,30

Environment:
Plane-Fit_distance_mm,2605,678955
Ground-Truth_Distance_mm,2575

Sample Id,Frame #,Timestamp (ms),Fill-Rate %,Z Accuracy %,Plane Fit RMS Error %,Subpixel RMS Error (pixel),
0,37300,1256718.6218,100.0000,1.2812,36.9901,0.0785,
1,37681,1256939.1337,100.0000,1.2465,40.2228,0.0855,
2,37688,1257156.2355,100.0000,1.3350,39.5085,0.0834,
3,37695,1257372.0228,99.9973,1.0647,38.2604,0.0813,
4,37700,1257597.1574,99.9946,1.2398,37.1686,0.0793,
5,37707,1257824.2007,99.9919,1.4158,36.5944,0.0770,
6,37713,1258041.4167,99.9973,1.1785,37.7493,0.0804,
7,37719,1258262.5703,100.0000,1.3032,40.5744,0.0855,
8,37726,1258481.8396,100.0000,1.3821,37.7991,0.0797,
9,37731,1258700.3335,100.0000,1.2202,40.5369,0.0863,
10,37738,1258921.7979,100.0000,1.2753,38.6950,0.0817,
11,37744,1259143.1506,100.0000,1.3068,37.7877,0.0804,
12,37750,1259364.1931,100.0000,1.1064,40.2973,0.0854,
13,37756,1259587.6861,100.0000,1.2911,38.9485,0.0828,
14,37764,1259810.0797,100.0000,1.3642,36.9818,0.0781,
15,37770,1260029.9217,99.9702,1.3448,39.8613,0.0845,
16,37776,1260244.9731,100.0000,1.2411,38.5486,0.0818,
17,37783,1260463.2604,100.0000,1.2755,39.6406,0.0843,
18,37790,1260688.4445,100.0000,1.0109,41.5074,0.0884,
19,37796,1260909.5908,99.9892,1.1381,41.2185,0.0877,
20,37802,1261139.1070,100.0000,1.2888,39.3035,0.0840,
21,37810,1261355.8120,100.0000,1.2009,38.5388,0.0814,
22,37817,1261578.5299,100.0000,1.2960,37.9014,0.0804,
23,37824,1261808.4831,100.0000,1.1194,41.2772,0.0879,
24,37830,1262035.5356,100.0000,1.2414,37.4836,0.0798,
25,37837,1262254.7390,100.0000,1.2280,36.6410,0.0782,
26,37844,1262474.8338,99.9864,1.1963,39.7961,0.0853,
27,37850,1262692.2263,100.0000,1.3126,39.6464,0.0846,
28,37857,1262910.6921,100.0000,1.3671,38.3203,0.0814,
29,37863,1263127.9888,99.9892,1.1668,39.8070,0.0850,
30,37870,1263346.0252,100.0000,1.1310,38.9898,0.0828,
31,37875,1263567.8595,99.9919,1.2423,39.8447,0.0839,
32,37883,1263787.0668,100.0000,1.3355,36.4668,0.0768,
33,37888,1264035.7774,100.0000,1.3505,38.2399,0.0808,
34,37897,1264253.9922,99.9837,1.1988,43.1602,0.0918,
35,37904,1264472.3338,99.9837,1.1583,38.6574,0.0815,
36,37910,1264691.4502,100.0000,1.3110,41.5527,0.0876,
37,37916,1264914.7714,100.0000,1.3357,38.8821,0.0822,
38,37923,1265135.0922,100.0000,1.3009,39.8698,0.0848,
39,37930,1265356.6694,100.0000,1.2808,38.9420,0.0828,
40,37936,1265578.8339,99.9919,1.2457,40.5660,0.0859,
41,37943,1265802.6768,100.0000,1.2572,39.5470,0.0835,
42,37950,1266020.0974,100.0000,1.3174,40.4687,0.0853,
43,37956,1266241.0427,100.0000,1.2492,39.7788,0.0840,
44,37963,1266462.3831,100.0000,1.0749,38.9900,0.0832,
