Device Info:
Type:,Intel RealSense D435
HW Id:,0B07
Serial Num:,819112072284
Firmware Ver:,05.11.01.00

Streaming profile:
Stream,Format,Resolution,FPS
Depth,Z16,1280x720,30
Infrared 1,Y8,1280x720,30

Environment:
Plane-Fit_distance_mm,2610,212891
Ground-Truth_Distance_mm,2575

Sample Id,Frame #,Timestamp (ms),Fill-Rate %,Z Accuracy %,Plane Fit RMS Error %,Subpixel RMS Error (pixel),
0,38766,1299470.6237,100.0000,1.3820,35.6017,0.0753,
1,38962,1299689.7920,100.0000,1.2437,37.1478,0.0796,
2,38967,1299905.1932,100.0000,1.4558,37.3917,0.0786,
3,38972,1300124.0256,100.0000,1.3075,36.2389,0.0761,
4,38980,1300338.9767,99.9892,1.1723,37.8684,0.0808,
5,38986,1300558.1352,99.9837,1.4675,36.6083,0.0775,
6,38992,1300773.7056,99.9864,1.2826,37.9578,0.0807,
7,38999,1300993.5590,100.0000,1.4011,37.5302,0.0789,
8,39005,1301224.0142,100.0000,1.5672,35.7617,0.0753,
9,39012,1301443.5256,99.9756,1.4674,34.8846,0.0733,
10,39018,1301678.7265,99.9973,1.4954,38.5945,0.0825,
11,39025,1301915.0005,99.9946,1.3891,35.6117,0.0752,
12,39031,1302157.3209,100.0000,1.4825,37.5231,0.0794,
13,39040,1302396.2801,100.0000,1.5040,36.9850,0.0778,
14,39047,1302637.2863,100.0000,1.4586,36.6224,0.0775,
15,39055,1302860.6531,100.0000,1.2143,36.1686,0.0767,
16,39061,1303077.3772,100.0000,1.3664,38.1195,0.0808,
17,39068,1303307.2297,100.0000,1.3437,37.0756,0.0783,
18,39074,1303525.5585,99.9810,1.3539,36.4925,0.0771,
19,39081,1303761.5594,100.0000,1.4128,36.5596,0.0773,
20,39088,1303997.3627,100.0000,1.3168,34.5156,0.0734,
21,39095,1304238.9318,100.0000,1.4712,38.9466,0.0818,
22,39102,1304458.4772,100.0000,1.4139,39.4962,0.0837,
23,39110,1304674.7476,100.0000,1.3805,36.0702,0.0763,
24,39116,1304890.0663,100.0000,1.4284,36.9258,0.0777,
25,39122,1305129.5190,99.9593,1.4763,36.3330,0.0768,
26,39129,1305346.2910,100.0000,1.4355,35.8807,0.0754,
27,39135,1305562.6284,99.9864,1.3984,36.2983,0.0770,
28,39143,1305779.2328,100.0000,1.4185,36.8706,0.0778,
29,39148,1306015.0619,100.0000,1.4302,34.9223,0.0741,
30,39155,1306228.5208,99.9946,1.4260,37.6623,0.0797,
31,39162,1306446.5444,99.9946,1.1718,37.0930,0.0787,
32,39169,1306662.6372,99.9973,1.2820,36.1406,0.0766,
33,39175,1306882.5620,100.0000,1.4774,35.8718,0.0760,
34,39180,1307098.7390,100.0000,1.3715,35.6647,0.0752,
35,39188,1307322.1316,99.9675,1.2509,38.3452,0.0810,
36,39196,1307540.5256,100.0000,1.3849,37.3227,0.0789,
37,39201,1307757.8397,100.0000,1.3955,36.2121,0.0772,
38,39208,1307993.5981,100.0000,1.5103,38.0406,0.0805,
39,39215,1308212.3679,99.9837,1.3397,36.1216,0.0766,
40,39221,1308430.9254,100.0000,1.3753,37.4788,0.0790,
41,39229,1308654.0362,99.9837,1.4864,36.7479,0.0776,
42,39234,1308870.3262,99.9756,1.3547,36.2027,0.0765,
43,39242,1309097.8921,100.0000,1.3624,36.9483,0.0781,
44,39248,1309324.0787,100.0000,1.2310,38.5036,0.0815,
45,39256,1309541.4539,99.9946,1.4059,36.7831,0.0782,
46,39262,1309761.5657,99.9946,1.4547,36.3969,0.0763,
47,39269,1309981.3117,100.0000,1.4828,33.6853,0.0709,
48,39275,1310195.9918,100.0000,1.4393,35.0961,0.0742,
49,39282,1310416.3241,100.0000,1.3958,36.1515,0.0770,
50,39288,1310643.9502,100.0000,1.4955,37.3876,0.0790,
51,39295,1310879.1302,100.0000,1.3652,37.6941,0.0804,
52,39301,1311109.9227,99.9973,1.3852,35.2845,0.0746,
53,39308,1311326.3303,100.0000,1.2706,36.5449,0.0773,
54,39315,1311544.9753,99.9756,1.3704,35.6308,0.0753,
55,39321,1311764.5262,100.0000,1.4293,36.4425,0.0770,
56,39329,1311983.2752,100.0000,1.4185,37.5655,0.0797,
57,39334,1312199.2093,100.0000,1.5470,35.5729,0.0749,
58,39342,1312418.5747,100.0000,1.3730,36.5059,0.0769,
59,39348,1312637.5887,99.9919,1.3750,38.0616,0.0810,
60,39354,1312856.3530,100.0000,1.4689,35.8169,0.0758,
61,39361,1313081.0352,100.0000,1.4349,38.2357,0.0806,
62,39367,1313302.0400,100.0000,1.4666,37.8739,0.0805,
63,39375,1313524.7419,100.0000,1.3042,38.0739,0.0808,
64,39381,1313740.7699,100.0000,1.4232,35.4056,0.0743,
65,39387,1313970.7897,100.0000,1.5003,36.6573,0.0769,
66,39393,1314188.5855,99.9892,1.4793,36.7943,0.0774,
67,39401,1314401.5117,100.0000,1.4294,36.2099,0.0762,
68,39407,1314618.0232,100.0000,1.3385,37.1174,0.0786,
69,39414,1314839.1493,100.0000,1.4599,35.9239,0.0757,
70,39420,1315063.1169,99.9892,1.2178,37.8174,0.0798,
71,39428,1315289.2348,100.0000,1.3295,34.9164,0.0742,
72,39433,1315505.5358,100.0000,1.4069,37.6220,0.0798,
73,39440,1315722.4009,100.0000,1.3208,36.7347,0.0766,
74,39447,1315938.9333,99.9783,1.3594,39.6486,0.0833,
75,39453,1316150.1971,99.9973,1.3015,35.9495,0.0762,
76,39459,1316364.4826,99.9864,1.5371,37.5518,0.0790,
77,39465,1316582.6516,99.9973,1.2367,36.0872,0.0764,
78,39472,1316801.5027,100.0000,1.4418,34.0578,0.0718,
79,39479,1317017.7108,100.0000,1.3345,38.9814,0.0828,
80,39485,1317253.1537,100.0000,1.3583,37.7809,0.0804,
81,39493,1317472.0748,100.0000,1.3562,36.5545,0.0772,
82,39500,1317693.2852,100.0000,1.4193,36.1477,0.0764,
83,39506,1317916.7394,100.0000,1.3813,38.1329,0.0806,
84,39512,1318133.4721,100.0000,1.4219,40.1187,0.0847,
85,39519,1318369.7863,100.0000,1.5228,37.3958,0.0788,
86,39526,1318605.9603,100.0000,1.3190,36.3686,0.0774,
87,39534,1318823.8747,100.0000,1.4615,38.9376,0.0822,
88,39539,1319046.9087,100.0000,1.3723,39.2239,0.0828,
89,39547,1319272.4444,100.0000,1.4748,32.9957,0.0694,
90,39553,1319487.3966,100.0000,1.3583,34.8916,0.0740,
91,39559,1319718.4961,99.9810,1.4349,37.7803,0.0802,
92,39566,1319932.4116,100.0000,1.4405,36.3744,0.0768,
93,39574,1320145.4143,100.0000,1.2825,37.1838,0.0793,
94,39580,1320363.3560,100.0000,1.3817,37.4280,0.0798,
95,39586,1320584.6420,100.0000,1.2692,39.0046,0.0826,
96,39593,1320803.1439,99.9973,1.5088,35.2303,0.0741,
97,39599,1321020.6847,99.9837,1.5263,36.5081,0.0770,
98,39607,1321237.9133,100.0000,1.3296,36.6714,0.0773,
99,39612,1321456.2102,100.0000,1.2986,34.9862,0.0742,
100,39619,1321675.4058,99.9864,1.3632,35.3562,0.0744,
101,39627,1321901.9791,100.0000,1.5200,37.0263,0.0786,
102,39633,1322117.9751,100.0000,1.5033,34.3054,0.0730,
103,39640,1322329.4826,100.0000,1.4676,37.6264,0.0791,
104,39646,1322542.8314,100.0000,1.4606,36.7750,0.0773,
105,39651,1322758.8741,100.0000,1.1076,39.0650,0.0836,
106,39657,1322976.9611,100.0000,1.3356,37.4168,0.0793,
107,39664,1323191.6376,99.9973,1.3701,34.8113,0.0739,
108,39671,1323409.7954,100.0000,1.5792,34.4273,0.0728,
109,39678,1323640.4293,99.9973,1.2478,36.8146,0.0779,
110,39683,1323855.9635,100.0000,1.4722,36.7702,0.0781,
111,39692,1324098.4165,100.0000,1.4162,36.8178,0.0779,
112,39698,1324321.0518,100.0000,1.5341,35.6839,0.0757,
113,39706,1324537.5202,100.0000,1.4390,37.9684,0.0802,
114,39712,1324764.7691,100.0000,1.2323,38.5584,0.0822,
115,39718,1324986.1507,100.0000,1.3938,38.0807,0.0804,
116,39725,1325232.5911,100.0000,1.4629,36.1455,0.0770,
117,39732,1325453.1326,100.0000,1.4202,37.2823,0.0790,
118,39739,1325671.7521,100.0000,1.4798,37.7262,0.0800,
119,39746,1325892.9821,100.0000,1.3728,37.0169,0.0785,
120,39752,1326111.3504,99.9892,1.5598,38.2032,0.0802,
121,39759,1326326.6740,99.9919,1.4953,35.6658,0.0755,
122,39765,1326547.7246,100.0000,1.3593,37.1518,0.0794,
123,39772,1326766.0936,100.0000,1.4234,36.3180,0.0768,
124,39778,1326983.4705,100.0000,1.3550,38.0691,0.0799,
125,39784,1327220.1083,100.0000,1.4703,36.3057,0.0769,
126,39790,1327433.1475,100.0000,1.3778,36.2540,0.0767,
127,39799,1327652.1445,100.0000,1.2963,34.3329,0.0726,
128,39805,1327868.3098,99.9973,1.3397,36.7685,0.0778,
129,39812,1328086.7909,99.9892,1.3305,39.4524,0.0837,
130,39818,1328303.1374,100.0000,1.3786,37.0119,0.0784,
131,39824,1328518.7722,100.0000,1.3087,35.2897,0.0746,
132,39831,1328736.6760,100.0000,1.3530,36.7039,0.0775,
133,39837,1328955.1452,100.0000,1.3390,36.4374,0.0773,
134,39844,1329178.4339,100.0000,1.3013,38.2210,0.0815,
135,39851,1329394.7457,99.9919,1.4442,36.5330,0.0768,
136,39857,1329609.9773,99.9946,1.4143,37.7796,0.0801,
137,39863,1329829.1718,100.0000,1.3516,37.6101,0.0794,
138,39869,1330053.6247,100.0000,1.4233,35.2764,0.0742,
139,39876,1330278.0608,99.9837,1.5249,36.9006,0.0777,
140,39883,1330498.6675,100.0000,1.4203,36.4388,0.0769,
