Device Info:
Type:,Intel RealSense D435
HW Id:,0B07
Serial Num:,819112072284
Firmware Ver:,05.11.01.00

Streaming profile:
Stream,Format,Resolution,FPS
Depth,Z16,1280x720,30
Infrared 1,Y8,1280x720,30

Environment:
Plane-Fit_distance_mm,304,811279
Ground-Truth_Distance_mm,303

Sample Id,Frame #,Timestamp (ms),Fill-Rate %,Z Accuracy %,Plane Fit RMS Error %,Subpixel RMS Error (pixel),
0,47515,1601432.0579,99.9089,0.6487,0.7999,0.0892,
1,48001,1601653.3414,99.9197,0.6501,0.8016,0.0894,
2,48007,1601869.8942,99.9251,0.6478,0.8080,0.0901,
3,48012,1602093.4044,99.9170,0.6493,0.8042,0.0897,
4,48019,1602316.4445,99.9339,0.6485,0.8027,0.0897,
5,48025,1602538.6511,99.9278,0.6468,0.8104,0.0904,
6,48031,1602757.6648,99.9258,0.6460,0.8075,0.0901,
7,48037,1602995.8212,99.9110,0.6454,0.8018,0.0896,
8,48043,1603219.2850,99.9137,0.6445,0.8049,0.0897,
9,48051,1603439.7246,99.9130,0.6435,0.8091,0.0905,
10,48057,1603657.4417,99.9265,0.6449,0.8095,0.0902,
11,48064,1603877.9299,99.9245,0.6453,0.8104,0.0904,
12,48070,1604095.9053,99.9346,0.6489,0.8005,0.0894,
13,48076,1604314.3809,99.9143,0.6473,0.8018,0.0895,
14,48083,1604531.9395,99.9157,0.6489,0.8033,0.0895,
15,48089,1604748.1964,99.9177,0.6498,0.8057,0.0899,
16,48096,1604967.3099,99.9157,0.6507,0.8011,0.0895,
17,48101,1605185.2679,99.9150,0.6518,0.8078,0.0900,
18,48109,1605409.3047,99.9143,0.6508,0.8100,0.0902,
19,48115,1605628.7813,99.9157,0.6501,0.8081,0.0903,
20,48122,1605851.3894,99.9103,0.6483,0.7986,0.0891,
21,48129,1606071.5508,99.9231,0.6471,0.8040,0.0897,
22,48136,1606294.0619,99.9184,0.6499,0.8069,0.0899,
23,48142,1606515.1051,99.9130,0.6510,0.7918,0.0884,
24,48149,1606738.5129,99.9197,0.6508,0.8064,0.0897,
25,48154,1606956.4043,99.9157,0.6492,0.8009,0.0893,
26,48162,1607172.7074,99.9197,0.6521,0.8014,0.0893,
27,48168,1607393.2464,99.9150,0.6506,0.7985,0.0892,
28,48175,1607626.6783,99.9170,0.6480,0.8081,0.0901,
29,48183,1607840.9310,99.9224,0.6486,0.8121,0.0907,
30,48189,1608058.6836,99.9150,0.6490,0.8149,0.0908,
31,48195,1608282.2179,99.9150,0.6492,0.8054,0.0899,
32,48202,1608505.4711,99.9083,0.6474,0.8002,0.0896,
33,48208,1608730.5517,99.9197,0.6480,0.8081,0.0902,
34,48216,1608954.7101,99.9143,0.6483,0.8173,0.0910,
35,48221,1609177.2414,99.9197,0.6486,0.8090,0.0902,
36,48229,1609410.0328,99.9211,0.6474,0.7996,0.0891,
37,48235,1609650.9599,99.9197,0.6500,0.8049,0.0896,
38,48243,1609873.3915,99.9157,0.6500,0.8051,0.0895,
39,48250,1610102.5651,99.9116,0.6523,0.8025,0.0896,
40,48256,1610324.7030,99.9137,0.6519,0.7992,0.0890,
41,48263,1610540.7913,99.9184,0.6498,0.7981,0.0891,
42,48270,1610758.9146,99.9184,0.6501,0.8132,0.0906,
43,48275,1610980.6022,99.9258,0.6500,0.8029,0.0897,
44,48283,1611201.6064,99.9157,0.6478,0.8079,0.0902,
45,48289,1611422.9098,99.9123,0.6499,0.8045,0.0897,
46,48296,1611653.8023,99.9184,0.6485,0.8056,0.0898,
47,48304,1611881.2617,99.9238,0.6483,0.8058,0.0898,
48,48310,1612100.2546,99.9123,0.6497,0.7956,0.0889,
49,48316,1612324.3920,99.9137,0.6474,0.8097,0.0903,
50,48323,1612542.1109,99.9278,0.6492,0.8050,0.0899,
51,48330,1612760.9711,99.9204,0.6485,0.7972,0.0891,
52,48336,1612979.9636,99.9110,0.6475,0.8056,0.0899,
53,48343,1613199.1666,99.9143,0.6509,0.8064,0.0898,
54,48349,1613428.4882,99.9089,0.6474,0.8061,0.0898,
55,48356,1613661.1052,99.9204,0.6473,0.8168,0.0908,
56,48363,1613880.9720,99.9265,0.6488,0.8143,0.0907,
57,48369,1614103.6998,99.9157,0.6480,0.8026,0.0897,
58,48376,1614327.8157,99.9137,0.6488,0.7943,0.0888,
59,48383,1614564.1365,99.9076,0.6483,0.8127,0.0905,
60,48390,1614800.5237,99.9197,0.6488,0.8093,0.0901,
61,48396,1615037.3681,99.9191,0.6497,0.8044,0.0897,
62,48404,1615268.5766,99.9197,0.6469,0.8021,0.0896,
63,48411,1615503.6187,99.9130,0.6483,0.8014,0.0894,
64,48418,1615729.8202,99.9218,0.6485,0.8041,0.0897,
65,48424,1615955.6005,99.9170,0.6478,0.8035,0.0895,
66,48432,1616175.8195,99.9137,0.6501,0.8022,0.0895,
67,48438,1616395.7445,99.9143,0.6504,0.8036,0.0897,
68,48446,1616619.9507,99.9197,0.6496,0.8082,0.0902,
69,48452,1616841.2136,99.9110,0.6492,0.8069,0.0900,
70,48459,1617058.3282,99.9123,0.6481,0.8033,0.0897,
71,48465,1617278.1228,99.9231,0.6494,0.8041,0.0898,
72,48471,1617502.7259,99.9204,0.6493,0.8043,0.0898,
73,48478,1617722.4660,99.9238,0.6490,0.8114,0.0907,
74,48484,1617946.9892,99.9116,0.6503,0.8096,0.0903,
75,48491,1618164.8055,99.9164,0.6474,0.8050,0.0899,
76,48498,1618381.6101,99.9137,0.6485,0.8069,0.0901,
77,48505,1618598.7630,99.9224,0.6473,0.8109,0.0904,
78,48512,1618818.1402,99.9143,0.6489,0.8038,0.0896,
79,48518,1619040.9056,99.9245,0.6479,0.8010,0.0893,
80,48525,1619265.1749,99.9204,0.6477,0.7990,0.0894,
81,48531,1619499.5311,99.9130,0.6508,0.8055,0.0896,
82,48538,1619728.9726,99.9170,0.6506,0.8002,0.0893,
83,48545,1619947.0018,99.9103,0.6502,0.8069,0.0899,
84,48551,1620166.6506,99.9238,0.6495,0.8039,0.0896,
85,48558,1620387.8385,99.9089,0.6495,0.8012,0.0895,
86,48565,1620611.2104,99.9285,0.6501,0.8070,0.0901,
87,48571,1620828.4646,99.9164,0.6509,0.8037,0.0895,
88,48579,1621049.9913,99.9218,0.6489,0.8072,0.0903,
89,48585,1621270.0692,99.9116,0.6526,0.8054,0.0899,
90,48590,1621488.4512,99.9150,0.6485,0.8057,0.0899,
91,48598,1621710.2865,99.9177,0.6498,0.8066,0.0900,
92,48605,1621928.7882,99.9069,0.6491,0.8011,0.0896,
93,48612,1622148.9065,99.9191,0.6498,0.8052,0.0898,
94,48618,1622370.5317,99.9164,0.6481,0.8078,0.0903,
