Device Info:
Type:,Intel RealSense D435
HW Id:,0B07
Serial Num:,819112072284
Firmware Ver:,05.11.01.00

Streaming profile:
Stream,Format,Resolution,FPS
Depth,Z16,1280x720,30
Infrared 1,Y8,1280x720,30

Environment:
Plane-Fit_distance_mm,307,131775
Ground-Truth_Distance_mm,303

Sample Id,Frame #,Timestamp (ms),Fill-Rate %,Z Accuracy %,Plane Fit RMS Error %,Subpixel RMS Error (pixel),
0,31194,1065476.0607,99.8145,1.6304,0.6400,0.0702,
1,31921,1065696.0114,99.8327,1.6477,0.6542,0.0711,
2,31926,1065916.4399,99.8550,1.6245,0.6445,0.0683,
3,31932,1066134.5970,99.8374,1.6237,0.6065,0.0654,
4,31939,1066352.1356,99.8374,1.6508,0.6133,0.0662,
5,31944,1066573.2203,99.8280,1.4085,0.5585,0.0634,
6,31952,1066793.2457,99.8570,1.6402,0.5863,0.0638,
7,31957,1067012.4244,99.8341,1.6510,0.6191,0.0662,
8,31965,1067232.7369,99.8334,1.6373,0.5938,0.0646,
9,31972,1067466.5739,99.8388,1.3442,0.6389,0.0693,
10,31977,1067712.1857,99.8267,1.3488,0.6066,0.0669,
11,31985,1067936.7440,99.8287,1.3451,0.6055,0.0660,
12,31991,1068157.9962,99.8179,1.6292,0.6059,0.0654,
13,31999,1068379.0399,99.8084,1.6385,0.6165,0.0661,
14,32006,1068600.6669,99.8509,1.6413,0.5876,0.0638,
15,32011,1068820.8472,99.8267,1.6420,0.6258,0.0679,
16,32018,1069039.2643,99.8401,1.3217,0.6293,0.0672,
17,32025,1069257.0440,99.8408,1.3380,0.6116,0.0663,
18,32032,1069475.8327,99.8186,1.6359,0.6136,0.0663,
19,32037,1069722.9421,99.8422,1.3831,0.5458,0.0615,
20,32045,1069957.7268,99.8401,1.6233,0.5926,0.0642,
21,32052,1070175.9055,99.8462,1.6479,0.6087,0.0652,
22,32059,1070393.6456,99.8442,1.6252,0.6110,0.0666,
23,32065,1070623.4312,99.8273,1.3429,0.6389,0.0675,
24,32071,1070842.1781,99.8368,1.6386,0.6127,0.0668,
25,32080,1071063.1991,99.8260,1.3341,0.6340,0.0679,
26,32086,1071286.8531,99.8294,1.6315,0.6076,0.0665,
27,32093,1071522.6856,99.8415,1.3882,0.5728,0.0655,
28,32099,1071766.1904,99.8469,1.3927,0.5554,0.0637,
29,32106,1071985.7434,99.8314,1.3592,0.5168,0.0577,
30,32113,1072203.6252,99.8320,1.3762,0.5186,0.0584,
31,32121,1072420.0093,99.8307,1.3383,0.6194,0.0659,
32,32126,1072638.9305,99.8347,1.3412,0.6338,0.0680,
33,32133,1072860.0246,99.8030,1.3887,0.5437,0.0622,
34,32140,1073097.9105,99.8267,1.3459,0.6158,0.0666,
35,32146,1073330.4449,99.8233,1.3591,0.5008,0.0565,
36,32154,1073546.5937,99.8307,1.6250,0.6186,0.0673,
37,32161,1073773.9877,99.8401,1.3446,0.5908,0.0627,
38,32167,1073994.1502,99.8509,1.3737,0.5314,0.0600,
39,32174,1074214.5473,99.8428,1.6419,0.6078,0.0652,
40,32181,1074438.5532,99.8381,1.3406,0.6167,0.0659,
41,32186,1074658.3694,99.8401,1.6491,0.6267,0.0665,
42,32194,1074878.9259,99.8469,1.3304,0.6036,0.0644,
43,32199,1075096.4749,99.8287,1.3396,0.6308,0.0663,
44,32207,1075318.4038,99.8374,1.6417,0.6270,0.0668,
45,32215,1075537.4551,99.8354,1.6274,0.6037,0.0662,
46,32219,1075757.9746,99.8159,1.3898,0.5595,0.0640,
47,32227,1075977.9040,99.8455,1.3542,0.6194,0.0668,
48,32234,1076196.5577,99.8381,1.3425,0.6164,0.0657,
49,32239,1076420.3386,99.8476,1.6188,0.5861,0.0658,
50,32246,1076664.5834,99.8280,1.3844,0.5217,0.0595,
51,32254,1076887.3396,99.8455,1.6184,0.5897,0.0645,
52,32262,1077115.3161,99.8213,1.6265,0.6110,0.0662,
53,32268,1077339.4562,99.8374,1.3766,0.5662,0.0641,
54,32275,1077556.8213,99.8611,1.3744,0.5257,0.0595,
55,32280,1077769.4414,99.8280,1.6481,0.6104,0.0662,
56,32287,1077987.1882,99.8503,1.3278,0.6115,0.0653,
57,32294,1078202.9207,99.8354,1.3441,0.6174,0.0667,
58,32301,1078432.1086,99.8314,1.6299,0.6394,0.0685,
59,32306,1078654.3717,99.8503,1.6316,0.5931,0.0654,
60,32313,1078872.9909,99.8327,1.3835,0.5329,0.0602,
61,32321,1079106.3851,99.8347,1.6281,0.6204,0.0680,
62,32328,1079327.2329,99.8536,1.6471,0.6054,0.0654,
63,32333,1079559.9083,99.8543,1.3628,0.5087,0.0574,
64,32340,1079780.7497,99.8415,1.3766,0.5358,0.0601,
65,32348,1080002.6992,99.8476,1.6392,0.6102,0.0667,
66,32355,1080218.7979,99.8253,1.3471,0.6191,0.0656,
67,32361,1080453.2267,99.8334,1.6310,0.6130,0.0660,
68,32367,1080676.0251,99.8395,1.6358,0.6191,0.0675,
69,32374,1080895.2898,99.8368,1.6173,0.5918,0.0657,
70,32381,1081115.8600,99.8509,1.6311,0.6140,0.0684,
71,32388,1081347.9217,99.8428,1.6448,0.6446,0.0706,
72,32394,1081582.0570,99.8530,1.3312,0.4936,0.0553,
73,32400,1081797.5155,99.8509,1.6530,0.6232,0.0658,
74,32408,1082014.1249,99.8476,1.3753,0.5176,0.0585,
75,32415,1082244.9780,99.8408,1.4001,0.5659,0.0647,
76,32422,1082468.9826,99.8442,1.6195,0.6141,0.0677,
77,32428,1082721.7668,99.8226,1.3501,0.6296,0.0685,
78,32434,1082944.3679,99.8381,1.3750,0.5468,0.0608,
79,32442,1083181.8773,99.8536,1.6415,0.6194,0.0664,
80,32449,1083400.6977,99.8347,1.6307,0.5990,0.0646,
81,32456,1083624.8719,99.8273,1.3305,0.6216,0.0676,
82,32463,1083843.7031,99.8388,1.6111,0.6038,0.0670,
83,32470,1084065.0059,99.8543,1.6187,0.6151,0.0664,
84,32475,1084285.2272,99.8557,1.3382,0.6458,0.0691,
85,32482,1084507.1858,99.8563,1.3941,0.5404,0.0619,
86,32489,1084726.9350,99.8415,1.3813,0.5256,0.0598,
87,32496,1084949.1388,99.8347,1.6374,0.6248,0.0676,
88,32501,1085181.9664,99.8287,1.3458,0.4998,0.0558,
89,32510,1085412.0119,99.8260,1.6313,0.6035,0.0656,
90,32516,1085650.5285,99.8294,1.6361,0.6149,0.0664,
91,32523,1085873.6489,99.8395,1.3459,0.6232,0.0668,
92,32531,1086094.1132,99.8253,1.6241,0.6120,0.0667,
93,32538,1086313.4722,99.8300,1.6397,0.6219,0.0674,
