Device Info:
Type:,Intel RealSense D435
HW Id:,0B07
Serial Num:,819112072284
Firmware Ver:,05.11.01.00

Streaming profile:
Stream,Format,Resolution,FPS
Depth,Z16,1280x720,30
Infrared 1,Y8,1280x720,30

Environment:
Plane-Fit_distance_mm,303,493103
Ground-Truth_Distance_mm,303

Sample Id,Frame #,Timestamp (ms),Fill-Rate %,Z Accuracy %,Plane Fit RMS Error %,Subpixel RMS Error (pixel),
0,52420,1764188.9899,99.7139,0.7677,1.3530,0.3269,
1,52878,1764526.0233,99.7770,0.7678,1.3566,0.3271,
2,52887,1764872.4095,99.7119,0.7644,1.3439,0.3247,
3,52899,1765213.7070,99.7268,0.7668,1.3507,0.3263,
4,52908,1765553.4424,99.7137,0.7581,1.3308,0.3205,
5,52919,1765891.1629,99.7224,0.7516,1.3177,0.3168,
6,52931,1766230.1647,99.6980,0.7498,1.3131,0.3154,
7,52940,1766565.1453,99.7033,0.7687,1.3559,0.3270,
8,52948,1766907.6681,99.7555,0.7619,1.3448,0.3236,
9,52960,1767250.8264,99.7384,0.7577,1.3330,0.3206,
10,52969,1767589.0151,99.6869,0.7598,1.3399,0.3229,
11,52981,1767928.4619,99.7117,0.7691,1.3567,0.3273,
12,52990,1768269.3773,99.7033,0.7609,1.3416,0.3225,
13,52999,1768608.5592,99.7146,0.7554,1.3300,0.3199,
14,53011,1768950.7628,99.6921,0.7421,1.2998,0.3115,
15,53020,1769295.0901,99.6845,0.7307,1.2712,0.3042,
16,53032,1769687.4298,99.6865,0.7328,1.2829,0.3063,
17,53044,1770020.3096,99.6950,0.7397,1.2959,0.3098,
18,53053,1770359.2148,99.6923,0.7356,1.2911,0.3080,
19,53062,1770691.4153,99.6983,0.7487,1.3186,0.3160,
20,53072,1771025.7043,99.6842,0.7461,1.3097,0.3138,
21,53084,1771368.1496,99.6803,0.7483,1.3141,0.3143,
22,53093,1771707.1859,99.6896,0.7492,1.3134,0.3143,
23,53105,1772043.5011,99.6916,0.7437,1.3052,0.3131,
24,53113,1772379.8446,99.6968,0.7585,1.3369,0.3213,
25,53125,1772726.2601,99.7031,0.7484,1.3149,0.3149,
26,53134,1773065.5292,99.7000,0.7406,1.3009,0.3106,
27,53143,1773402.9848,99.6985,0.7517,1.3221,0.3173,
28,53155,1773743.4014,99.6897,0.7371,1.2889,0.3081,
29,53165,1774078.8364,99.6865,0.7519,1.3225,0.3169,
30,53174,1774421.5254,99.6862,0.7546,1.3232,0.3178,
31,53186,1774763.9148,99.6968,0.7509,1.3170,0.3164,
32,53196,1775100.3574,99.7017,0.7623,1.3426,0.3232,
33,53205,1775440.1239,99.6989,0.7689,1.3645,0.3290,
34,53216,1775778.6850,99.7024,0.7381,1.2953,0.3090,
35,53225,1776121.7106,99.7022,0.7552,1.3293,0.3194,
36,53237,1776461.5539,99.6946,0.7454,1.3097,0.3138,
37,53246,1776800.6313,99.6936,0.7604,1.3444,0.3231,
38,53257,1777141.4516,99.7036,0.7400,1.2965,0.3095,
39,53266,1777479.0256,99.6870,0.7472,1.3123,0.3143,
40,53278,1777815.0390,99.6869,0.7402,1.3022,0.3105,
41,53287,1778151.3272,99.6867,0.7221,1.2632,0.3001,
42,53296,1778495.3356,99.7004,0.7285,1.2710,0.3030,
43,53308,1778832.6124,99.6926,0.7337,1.2861,0.3064,
44,53316,1779175.1335,99.7048,0.7466,1.3100,0.3135,
45,53328,1779513.7078,99.7131,0.7664,1.3578,0.3264,
46,53337,1779847.6540,99.7185,0.7807,1.3883,0.3350,
47,53349,1780186.2314,99.7109,0.7706,1.3676,0.3299,
48,53358,1780523.3177,99.6921,0.7605,1.3360,0.3214,
49,53366,1780862.0030,99.8336,0.7783,1.3775,0.3331,
50,53379,1781200.4563,99.7313,0.7842,1.3998,0.3388,
51,53388,1781541.9913,99.7139,0.7713,1.3642,0.3289,
52,53397,1781878.2047,99.7144,0.7752,1.3714,0.3310,
53,53409,1782211.6420,99.7476,0.7753,1.3703,0.3310,
54,53418,1782552.1001,99.7203,0.7740,1.3654,0.3302,
55,53427,1782887.7209,99.7146,0.7603,1.3414,0.3224,
56,53440,1783237.0567,99.7044,0.7537,1.3304,0.3191,
57,53450,1783588.8395,99.7217,0.7557,1.3268,0.3189,
58,53459,1783932.3457,99.7139,0.7502,1.3138,0.3156,
59,53471,1784270.0021,99.7097,0.7821,1.3841,0.3355,
60,53480,1784607.8700,99.7104,0.7685,1.3580,0.3276,
61,53492,1784941.4612,99.7104,0.7749,1.3720,0.3318,
62,53501,1785283.3978,99.7131,0.7682,1.3578,0.3276,
63,53510,1785626.2703,99.7119,0.7765,1.3742,0.3325,
64,53519,1785979.7619,99.7000,0.7869,1.3972,0.3389,
65,53532,1786327.1670,99.7104,0.7678,1.3573,0.3273,
66,53541,1786695.8937,99.7072,0.7660,1.3534,0.3259,
67,53554,1787038.5749,99.7122,0.7732,1.3653,0.3296,
68,53563,1787385.0121,99.7007,0.7559,1.3281,0.3191,
69,53573,1787725.0426,99.7235,0.7617,1.3428,0.3229,
70,53585,1788075.2790,99.7026,0.7697,1.3584,0.3282,
