Device Info:
Type:,Intel RealSense D435
HW Id:,0B07
Serial Num:,819112072284
Firmware Ver:,05.11.01.00

Streaming profile:
Stream,Format,Resolution,FPS
Depth,Z16,1280x720,30
Infrared 1,Y8,1280x720,30

Environment:
Plane-Fit_distance_mm,788,852539
Ground-Truth_Distance_mm,789

Sample Id,Frame #,Timestamp (ms),Fill-Rate %,Z Accuracy %,Plane Fit RMS Error %,Subpixel RMS Error (pixel),
0,42801,1440143.6085,99.8739,0.2121,2.7494,0.1276,
1,43186,1440490.8280,99.8956,0.2129,2.6945,0.1249,
2,43196,1440837.3250,99.8888,0.2075,2.6725,0.1241,
3,43208,1441181.9908,99.8691,0.2131,2.6013,0.1205,
4,43217,1441524.0466,99.8678,0.2013,2.6552,0.1234,
5,43228,1441866.5550,99.8650,0.2060,2.6188,0.1214,
6,43237,1442219.0981,99.8576,0.2032,2.7557,0.1274,
7,43249,1442572.1772,99.8773,0.2084,2.6453,0.1223,
8,43258,1442915.3665,99.8908,0.2093,2.6461,0.1227,
9,43270,1443296.2233,99.9071,0.2013,2.7042,0.1250,
10,43279,1443633.8487,99.8861,0.2095,2.6801,0.1246,
11,43290,1443984.7678,99.8996,0.2045,2.6789,0.1249,
12,43302,1444330.3831,99.8935,0.2092,2.6750,0.1237,
13,43311,1444678.4546,99.8745,0.2133,2.7244,0.1265,
14,43323,1445027.3094,99.8800,0.2077,2.6867,0.1243,
15,43332,1445373.8065,99.8535,0.1933,2.6879,0.1247,
16,43342,1445734.0784,99.8671,0.1964,2.6891,0.1246,
17,43354,1446078.1404,99.8705,0.2111,2.7602,0.1280,
18,43363,1446434.2507,99.8793,0.2026,2.6540,0.1237,
19,43375,1446775.6243,99.8888,0.2074,2.6222,0.1219,
20,43385,1447119.6083,99.8867,0.1919,2.6786,0.1242,
21,43397,1447473.1334,99.8895,0.2099,2.7633,0.1285,
22,43406,1447825.1806,99.8671,0.2046,2.6813,0.1244,
23,43418,1448174.7355,99.8684,0.2028,2.7536,0.1277,
24,43427,1448518.4772,99.8610,0.2017,2.6830,0.1250,
25,43436,1448866.7594,99.8773,0.2060,2.6868,0.1244,
26,43448,1449220.2050,99.8549,0.2098,2.6797,0.1244,
27,43457,1449567.9082,99.8854,0.2044,2.6253,0.1216,
28,43469,1449915.5301,99.8834,0.2003,2.7664,0.1286,
29,43479,1450282.2111,99.8779,0.2121,2.7585,0.1282,
30,43491,1450636.0659,99.8603,0.2096,2.6795,0.1247,
31,43500,1450984.2109,99.8562,0.2117,2.5671,0.1190,
32,43513,1451331.8375,99.9017,0.2124,2.7490,0.1280,
33,43522,1451682.7622,99.8786,0.1956,2.6585,0.1236,
34,43531,1452029.7360,99.8847,0.2132,2.7188,0.1260,
35,43543,1452393.2576,99.8732,0.1998,2.6135,0.1221,
36,43553,1452742.2478,99.8732,0.2081,2.6140,0.1220,
37,43565,1453092.3783,99.8684,0.2073,2.6586,0.1231,
38,43574,1453438.1974,99.8725,0.2061,2.6640,0.1245,
39,43586,1453788.1582,99.8589,0.2149,2.6891,0.1246,
40,43595,1454139.9644,99.8488,0.2014,2.6318,0.1226,
41,43604,1454504.7487,99.9023,0.0911,2.7182,0.1257,
42,43617,1454858.0585,99.8827,0.2099,2.7148,0.1259,
43,43627,1455211.2894,99.8881,0.2116,2.7021,0.1252,
44,43639,1455560.0464,99.8589,0.2101,2.7948,0.1299,
45,43648,1455910.7957,99.8644,0.2100,2.6302,0.1215,
46,43661,1456257.5479,99.8895,0.2092,2.6843,0.1244,
47,43670,1456605.5039,99.8718,0.2019,2.6397,0.1220,
48,43679,1456961.6722,99.8813,0.1993,2.7313,0.1263,
49,43691,1457311.8861,99.8969,0.2154,2.8355,0.1315,
50,43700,1457658.4143,99.8596,0.2092,2.6255,0.1215,
51,43712,1458007.1341,99.8616,0.2077,2.7118,0.1255,
52,43721,1458354.5612,99.8562,0.2074,2.7197,0.1258,
53,43733,1458711.0230,99.8555,0.2126,2.7258,0.1264,
54,43742,1459048.3704,99.8766,0.2022,2.7596,0.1278,
55,43755,1459398.7764,99.8935,0.2109,2.6244,0.1224,
56,43764,1459738.1867,99.8847,0.2133,2.6894,0.1246,
57,43773,1460077.7456,99.9098,0.2054,2.7033,0.1254,
58,43785,1460444.0232,99.9023,0.2093,2.6280,0.1222,
59,43794,1460802.1683,99.8603,0.2045,2.6601,0.1239,
60,43804,1461159.0774,99.8589,0.2147,2.6971,0.1253,
61,43817,1461501.1912,99.8711,0.2048,2.7820,0.1289,
62,43828,1461849.0576,99.8684,0.2011,2.8850,0.1337,
63,43837,1462207.3800,99.8745,0.1980,2.7464,0.1273,
64,43849,1462551.7160,99.8739,0.2151,2.6733,0.1238,
65,43858,1462896.5430,99.8847,0.2062,2.7074,0.1249,
66,43867,1463247.1687,99.8705,0.2117,2.5990,0.1200,
67,43879,1463589.0610,99.8800,0.2084,2.5951,0.1205,
68,43888,1463931.9524,99.8732,0.1977,2.6913,0.1248,
69,43900,1464288.1966,99.9051,0.2065,2.7687,0.1284,
70,43909,1464642.8039,99.8888,0.2058,2.7328,0.1264,
71,43922,1465001.1704,99.8773,0.1993,2.6772,0.1243,
72,43931,1465379.7949,99.8488,0.2060,2.7128,0.1255,
73,43944,1465750.2869,99.8725,0.2104,2.6709,0.1237,
74,43953,1466096.6241,99.9091,0.2096,2.7360,0.1272,
75,43965,1466444.4438,99.8847,0.2086,2.7241,0.1262,
76,43975,1466791.3071,99.8528,0.2063,2.7137,0.1259,
77,43984,1467135.2784,99.8583,0.1984,2.5340,0.1174,
78,43996,1467490.7935,99.8827,0.2150,2.6772,0.1243,
79,44006,1467848.3294,99.8854,0.2211,2.6826,0.1245,
80,44018,1468195.2014,99.8671,0.2071,2.6304,0.1224,
81,44027,1468552.8190,99.8847,0.2126,2.7242,0.1268,
82,44039,1468902.1619,99.8854,0.2088,2.6640,0.1239,
83,44049,1469257.9332,99.8745,0.2016,2.7334,0.1269,
84,44059,1469634.9184,99.8861,0.2004,2.6957,0.1257,
85,44071,1469985.5820,99.9057,0.2110,2.5842,0.1194,
86,44080,1470333.5787,99.8861,0.2043,2.6613,0.1232,
87,44092,1470698.5091,99.8840,0.2177,2.7061,0.1261,
88,44101,1471062.8822,99.8901,0.2034,2.6076,0.1210,
89,44114,1471411.0874,99.8800,0.2003,2.6923,0.1246,
