Device Info:
Type:,Intel RealSense D435
HW Id:,0B07
Serial Num:,819112072284
Firmware Ver:,05.11.01.00

Streaming profile:
Stream,Format,Resolution,FPS
Depth,Z16,1280x720,30
Infrared 1,Y8,1280x720,30

Environment:
Plane-Fit_distance_mm,789,200867
Ground-Truth_Distance_mm,789

Sample Id,Frame #,Timestamp (ms),Fill-Rate %,Z Accuracy %,Plane Fit RMS Error %,Subpixel RMS Error (pixel),
0,54180,1818682.5684,99.5287,0.2089,3.4878,0.1609,
1,54542,1819011.4870,99.4839,0.2044,3.5034,0.1629,
2,54551,1819337.9290,99.5104,0.1994,3.5046,0.1628,
3,54560,1819697.2067,99.6060,0.2129,3.3279,0.1538,
4,54572,1820026.1621,99.5307,0.2105,3.5021,0.1612,
5,54581,1820357.7575,99.4561,0.2229,3.3890,0.1574,
6,54593,1820701.8912,99.5524,0.2207,3.5003,0.1621,
7,54602,1821037.5296,99.5097,0.2011,3.4943,0.1627,
8,54612,1821383.7316,99.5219,0.2036,3.5614,0.1650,
9,54624,1821718.0925,99.5863,0.2073,3.4560,0.1608,
10,54633,1822048.2985,99.4609,0.2095,3.3488,0.1556,
11,54642,1822385.3140,99.5985,0.2012,3.3065,0.1539,
12,54654,1822716.2966,99.5483,0.2107,3.4626,0.1606,
13,54663,1823050.3147,99.5829,0.2053,3.3805,0.1575,
14,54672,1823376.6669,99.5015,0.1965,3.5125,0.1623,
15,54684,1823705.3887,99.5056,0.2144,3.3959,0.1573,
16,54693,1824043.4563,99.5829,0.1939,3.2744,0.1517,
17,54702,1824374.3195,99.5402,0.2053,3.7462,0.1735,
18,54711,1824704.1189,99.5694,0.1979,3.3944,0.1568,
19,54723,1825036.5662,99.5375,0.2030,3.6558,0.1692,
20,54732,1825370.5043,99.5246,0.2103,3.3905,0.1569,
21,54741,1825694.4445,99.5232,0.2162,3.2213,0.1496,
22,54753,1826030.5705,99.5144,0.2038,3.4044,0.1583,
23,54762,1826372.6216,99.5497,0.1953,3.6406,0.1699,
24,54771,1826696.8256,99.4927,0.2044,3.4526,0.1598,
25,54783,1827029.5968,99.5110,0.1964,3.5935,0.1667,
26,54792,1827364.2064,99.4663,0.2074,3.3940,0.1562,
27,54800,1827708.2885,99.5578,0.1918,3.4321,0.1591,
28,54813,1828027.3003,99.5592,0.2227,3.5634,0.1655,
29,54822,1828365.3422,99.5578,0.2204,3.5725,0.1655,
30,54833,1828709.3660,99.5856,0.2152,3.3642,0.1551,
31,54842,1829056.0830,99.4412,0.1970,3.3817,0.1570,
32,54854,1829393.6620,99.4066,0.2062,3.5092,0.1628,
33,54863,1829715.4272,99.5673,0.1965,3.3488,0.1555,
34,54872,1830043.6304,99.4371,0.2050,3.5093,0.1631,
35,54884,1830378.8674,99.6290,0.2096,3.6476,0.1685,
36,54893,1830706.7743,99.5965,0.2231,3.5480,0.1657,
37,54902,1831033.6626,99.5470,0.2133,3.4507,0.1591,
38,54913,1831364.2716,99.4622,0.2127,3.5514,0.1649,
39,54922,1831686.3269,99.6053,0.2175,3.5050,0.1621,
40,54931,1832013.0744,99.5104,0.2038,3.3415,0.1541,
41,54942,1832343.3529,99.5605,0.2002,3.3794,0.1570,
42,54951,1832682.6247,99.5212,0.2109,3.3677,0.1570,
