Device Info:
Type:,Intel RealSense D435
HW Id:,0B07
Serial Num:,819112072284
Firmware Ver:,05.11.01.00

Streaming profile:
Stream,Format,Resolution,FPS
Depth,Z16,1280x720,30
Infrared 1,Y8,1280x720,30

Environment:
Plane-Fit_distance_mm,791,476807
Ground-Truth_Distance_mm,789

Sample Id,Frame #,Timestamp (ms),Fill-Rate %,Z Accuracy %,Plane Fit RMS Error %,Subpixel RMS Error (pixel),
0,62178,2080612.5641,99.9783,0.5840,1.8787,0.0431,
1,62403,2080825.4198,99.9675,0.5826,1.9844,0.0456,
2,62407,2081037.1620,99.9729,0.5837,1.9494,0.0448,
3,62411,2081250.8807,99.9620,0.5791,1.8682,0.0427,
4,62417,2081466.5269,99.9783,0.5767,1.9076,0.0439,
5,62425,2081682.4824,99.9647,0.5663,1.8337,0.0423,
6,62432,2081893.0625,99.9702,0.5753,1.9112,0.0438,
7,62439,2082103.2983,99.9702,0.5749,1.8909,0.0435,
8,62443,2082319.4284,99.9810,0.5711,1.9496,0.0449,
9,62451,2082541.3022,99.9756,0.5723,1.8794,0.0430,
10,62457,2082759.6019,99.9675,0.5772,1.9782,0.0453,
11,62464,2082974.6047,99.9729,0.5772,1.8445,0.0426,
12,62470,2083190.5104,99.9783,0.4588,1.9448,0.0445,
13,62476,2083407.3169,99.9837,0.5800,1.9050,0.0437,
14,62483,2083617.9210,99.9702,0.5792,1.8472,0.0424,
15,62490,2083841.0504,99.9810,0.5816,1.8867,0.0433,
16,62497,2084049.3616,99.9647,0.5804,1.9619,0.0452,
17,62503,2084282.7237,99.9837,0.5776,1.9499,0.0450,
18,62509,2084499.7076,99.9810,0.5896,1.9581,0.0453,
19,62516,2084714.4061,99.9702,0.5779,1.8285,0.0421,
20,62522,2084926.2313,99.9620,0.5826,1.8986,0.0437,
21,62528,2085136.9032,99.9783,0.5766,1.9004,0.0435,
22,62536,2085366.7628,99.9783,0.5805,1.8783,0.0430,
23,62542,2085589.5355,99.9783,0.5735,1.7930,0.0413,
24,62549,2085806.4441,99.9675,0.5734,1.8623,0.0432,
25,62556,2086020.7801,99.9729,0.5769,1.7656,0.0407,
26,62562,2086244.4458,99.9729,0.5849,1.9190,0.0438,
27,62567,2086458.8931,99.9729,0.5787,1.9313,0.0444,
28,62573,2086691.3499,99.9675,0.5695,1.9109,0.0439,
29,62579,2086907.0227,99.9729,0.5763,2.1188,0.0490,
30,62588,2087131.2303,99.9729,0.4644,2.0174,0.0466,
31,62595,2087352.1570,99.9729,0.5737,1.9338,0.0445,
32,62601,2087565.5464,99.9702,0.5757,1.8171,0.0417,
33,62608,2087779.9262,99.9620,0.5788,1.9747,0.0456,
34,62614,2087992.3465,99.9620,0.5724,1.9392,0.0444,
35,62621,2088205.8548,99.9675,0.5740,1.9626,0.0454,
36,62628,2088430.4200,99.9756,0.5841,1.9068,0.0439,
37,62634,2088646.6590,99.9756,0.5752,1.7412,0.0399,
38,62638,2088868.9949,99.9566,0.5762,1.9065,0.0436,
39,62647,2089092.1851,99.9756,0.5898,1.8980,0.0438,
40,62653,2089313.1611,99.9620,0.5842,1.8032,0.0414,
41,62659,2089528.1877,99.9647,0.5862,1.9180,0.0439,
42,62667,2089743.5796,99.9810,0.5652,1.8353,0.0424,
43,62674,2089958.8447,99.9810,0.5751,1.9275,0.0439,
44,62679,2090173.0983,99.9810,0.5682,1.9136,0.0438,
45,62686,2090410.0243,99.9864,0.5793,1.9084,0.0436,
46,62693,2090624.0380,99.9647,0.5733,1.9744,0.0454,
47,62701,2090845.7493,99.9783,0.5796,1.9011,0.0437,
48,62706,2091053.7170,99.9620,0.5786,1.8601,0.0426,
49,62713,2091268.0534,99.9756,0.4586,1.9037,0.0440,
50,62718,2091480.3068,99.9702,0.5675,1.8320,0.0422,
51,62727,2091700.3341,99.9702,0.5737,1.8583,0.0427,
52,62732,2091914.3291,99.9810,0.5790,1.8320,0.0419,
53,62738,2092127.8182,99.9783,0.5755,1.8521,0.0423,
54,62745,2092341.6793,99.9729,0.5824,1.9821,0.0459,
55,62751,2092555.3997,99.9702,0.5749,1.9403,0.0443,
56,62757,2092768.5523,99.9647,0.5758,1.8996,0.0438,
57,62763,2092998.8438,99.9702,0.5746,1.8062,0.0413,
58,62770,2093217.2881,99.9783,0.5732,1.8959,0.0437,
59,62777,2093435.9818,99.9675,0.5762,1.9321,0.0444,
60,62785,2093649.3263,99.9620,0.5689,1.8644,0.0431,
61,62790,2093868.2882,99.9783,0.5768,1.9023,0.0438,
62,62798,2094079.4541,99.9675,0.5735,1.8243,0.0420,
63,62804,2094300.4687,99.9485,0.5805,1.8210,0.0419,
64,62810,2094517.1776,99.9810,0.5712,1.8967,0.0434,
65,62817,2094729.6134,99.9810,0.5630,1.8935,0.0437,
66,62823,2094944.3480,99.9620,0.5724,1.9077,0.0438,
67,62828,2095156.6386,99.9702,0.5701,1.8908,0.0435,
68,62835,2095372.4366,99.9702,0.5818,1.9689,0.0453,
69,62840,2095587.5509,99.9729,0.5732,1.7658,0.0406,
70,62849,2095812.3427,99.9783,0.4601,1.9420,0.0451,
71,62855,2096033.6079,99.9647,0.5688,1.9098,0.0436,
72,62863,2096251.3633,99.9647,0.5755,1.8293,0.0415,
73,62868,2096465.8806,99.9675,0.5797,1.8619,0.0427,
74,62873,2096686.6457,99.9729,0.5763,1.8045,0.0414,
75,62881,2096904.3005,99.9810,0.5728,1.8635,0.0428,
76,62888,2097118.2010,99.9702,0.5717,1.9158,0.0439,
77,62895,2097333.6759,99.9675,0.5797,1.9348,0.0444,
78,62901,2097550.0459,99.9647,0.5753,1.8663,0.0429,
79,62907,2097764.5106,99.9702,0.5801,1.9380,0.0447,
80,62914,2097978.4957,99.9756,0.4546,1.9302,0.0446,
81,62920,2098191.8803,99.9647,0.5792,2.0359,0.0468,
82,62926,2098408.1416,99.9729,0.5745,1.8231,0.0419,
83,62932,2098632.4177,99.9647,0.5752,1.8902,0.0438,
84,62940,2098842.7395,99.9620,0.5780,1.8169,0.0417,
85,62946,2099057.2321,99.9783,0.4552,1.8029,0.0414,
