Device Info:
Type:,Intel RealSense D435
HW Id:,0B07
Serial Num:,819112072284
Firmware Ver:,05.11.01.00

Streaming profile:
Stream,Format,Resolution,FPS
Depth,Z16,1280x720,30
Infrared 1,Y8,1280x720,30

Environment:
Plane-Fit_distance_mm,788,806641
Ground-Truth_Distance_mm,789

Sample Id,Frame #,Timestamp (ms),Fill-Rate %,Z Accuracy %,Plane Fit RMS Error %,Subpixel RMS Error (pixel),
0,67630,2263432.7607,99.8698,0.0886,2.5334,0.0587,
1,67887,2263655.2644,99.8535,0.0784,2.8424,0.0660,
2,67893,2263899.7785,99.8969,0.1105,2.9536,0.0688,
3,67899,2264120.4501,99.8562,0.2076,2.6354,0.0613,
4,67905,2264343.3926,99.8806,0.0942,2.8870,0.0665,
5,67912,2264564.7355,99.8996,0.0909,2.6394,0.0614,
6,67917,2264788.3113,99.8644,0.0861,2.8596,0.0667,
7,67925,2265007.4158,99.9105,0.1019,2.8803,0.0672,
8,67931,2265220.6818,99.8589,0.0981,2.7529,0.0645,
9,67937,2265437.2474,99.8752,0.1012,2.8027,0.0651,
10,67943,2265652.8764,99.8264,0.0957,2.6503,0.0616,
11,67951,2265871.1640,99.7342,0.0983,2.9129,0.0679,
12,67955,2266088.7099,99.8698,0.0998,2.8966,0.0671,
13,67963,2266303.1015,99.8888,0.1033,2.9505,0.0683,
14,67971,2266516.9057,99.8372,0.0984,2.7135,0.0631,
15,67977,2266732.5845,99.8806,0.0967,2.6982,0.0627,
16,67982,2266948.2446,99.8020,0.0898,2.5676,0.0597,
17,67990,2267181.0269,99.8562,0.2131,2.7533,0.0639,
18,67996,2267401.5385,99.8616,0.0862,2.9230,0.0683,
19,68004,2267627.0724,99.8671,0.2087,2.9817,0.0693,
20,68010,2267850.6969,99.8481,0.1035,2.9471,0.0680,
21,68017,2268077.4508,99.8616,0.0926,2.8429,0.0661,
22,68022,2268300.3070,99.8969,0.0934,2.7877,0.0643,
23,68031,2268526.8847,99.8806,0.0936,2.6430,0.0617,
24,68036,2268744.7435,99.8779,0.0823,2.7453,0.0642,
25,68044,2268967.8869,99.8481,0.1032,2.8929,0.0672,
26,68050,2269184.7453,99.8210,0.0977,2.9695,0.0694,
27,68056,2269417.5030,99.8725,0.0966,2.6900,0.0626,
28,68064,2269639.2185,99.8698,0.0903,2.8063,0.0654,
29,68070,2269854.8418,99.8671,0.0940,2.8547,0.0661,
30,68076,2270073.2583,99.8915,0.0980,2.7941,0.0649,
31,68082,2270296.8985,99.8644,0.0971,2.8972,0.0678,
32,68088,2270516.4493,99.8752,0.2138,2.6009,0.0606,
33,68095,2270740.4585,99.8834,0.1073,2.7420,0.0635,
34,68103,2270959.4337,99.8454,0.0954,2.8821,0.0671,
35,68110,2271179.1686,99.8454,0.0941,2.8105,0.0654,
36,68116,2271408.1910,99.8806,0.0818,2.7817,0.0647,
37,68122,2271636.3218,99.8671,0.0999,2.7580,0.0639,
38,68131,2271854.8638,99.8752,0.1089,2.8023,0.0652,
39,68137,2272070.7786,99.8969,0.0948,2.9181,0.0682,
40,68142,2272315.2113,99.8861,0.2120,2.7970,0.0647,
41,68149,2272544.3414,99.8752,0.0982,2.6234,0.0612,
42,68158,2272774.9986,99.8562,0.0931,2.7524,0.0638,
43,68164,2272993.2713,99.8644,0.0970,2.6668,0.0621,
44,68171,2273213.2952,99.8752,0.2185,2.6809,0.0622,
45,68177,2273431.3023,99.8562,0.1009,2.5976,0.0604,
46,68183,2273652.4710,99.9078,0.0886,2.8565,0.0661,
47,68191,2273887.0349,99.8616,0.0811,2.8202,0.0654,
48,68196,2274120.4532,99.8481,0.0995,2.4871,0.0581,
49,68204,2274344.9606,99.8210,0.1008,2.6879,0.0626,
50,68211,2274561.9095,99.8942,0.0995,2.7982,0.0651,
51,68218,2274781.4320,99.8725,0.2008,2.6827,0.0624,
52,68224,2274999.5805,99.8020,0.0965,2.8881,0.0673,
53,68230,2275237.7483,99.8806,0.0868,2.9227,0.0678,
54,68238,2275468.5265,99.8644,0.2213,2.9054,0.0674,
55,68244,2275712.5541,99.8698,0.1062,2.8014,0.0653,
56,68251,2275938.0031,99.8535,0.1011,2.7859,0.0642,
57,68259,2276169.6505,99.8616,0.2052,2.7097,0.0632,
58,68265,2276397.5002,99.8535,0.1009,2.7771,0.0639,
59,68273,2276617.2157,99.8562,0.0911,2.8757,0.0667,
60,68279,2276833.5352,99.8481,0.0923,2.8845,0.0672,
61,68286,2277052.4222,99.8589,0.0979,2.6594,0.0614,
62,68292,2277279.3252,99.8834,0.0967,2.7299,0.0630,
63,68298,2277509.1565,99.8806,0.0918,2.8439,0.0659,
64,68306,2277741.5782,99.8400,0.0919,2.8174,0.0656,
65,68313,2277960.9329,99.8508,0.1031,2.7610,0.0644,
66,68320,2278179.0050,99.8508,0.2113,2.7691,0.0645,
67,68326,2278415.0230,99.8616,0.1052,2.7782,0.0644,
68,68334,2278629.2549,99.8698,0.0966,2.5935,0.0603,
69,68340,2278846.5982,99.8861,0.1072,2.8551,0.0666,
70,68346,2279065.9638,99.8291,0.1013,2.7936,0.0650,
71,68352,2279312.2695,99.8752,0.0911,2.7554,0.0649,
72,68359,2279554.6465,99.8698,0.0847,2.8268,0.0653,
73,68366,2279773.6334,99.9023,0.0918,2.6123,0.0605,
74,68374,2279999.7045,99.8725,0.0891,2.6999,0.0629,
75,68382,2280215.2824,99.8508,0.1000,2.7368,0.0632,
