Device Info:
Type:,Intel RealSense D435
HW Id:,0B07
Serial Num:,819112072284
Firmware Ver:,05.11.01.00

Streaming profile:
Stream,Format,Resolution,FPS
Depth,Z16,1280x720,30
Infrared 1,Y8,1280x720,30

Environment:
Plane-Fit_distance_mm,788,334106
Ground-Truth_Distance_mm,789

Sample Id,Frame #,Timestamp (ms),Fill-Rate %,Z Accuracy %,Plane Fit RMS Error %,Subpixel RMS Error (pixel),
0,68915,2306334.2970,99.9620,0.0953,1.9611,0.0455,
1,69174,2306549.6927,99.9729,0.0986,1.9184,0.0443,
2,69178,2306765.4731,99.9620,0.0963,2.0451,0.0473,
3,69185,2306980.6068,99.9702,0.1034,2.0112,0.0468,
4,69191,2307194.2885,99.9702,0.0958,2.0290,0.0470,
5,69197,2307409.0779,99.9810,0.1005,1.9877,0.0459,
6,69204,2307620.8547,99.9756,0.1001,1.9061,0.0442,
7,69209,2307833.7360,99.9702,0.1043,1.9774,0.0457,
8,69217,2308046.6187,99.9675,0.0949,2.0173,0.0468,
9,69222,2308267.1748,99.9783,0.0846,2.0074,0.0467,
10,69228,2308505.2858,99.9729,0.0891,1.9765,0.0460,
11,69235,2308735.4789,99.9810,0.0920,1.9630,0.0458,
12,69244,2308968.2995,99.9783,0.0997,1.9224,0.0446,
13,69251,2309204.6566,99.9647,0.0937,1.9621,0.0455,
14,69257,2309420.1372,99.9702,0.0987,2.0590,0.0478,
15,69264,2309651.0649,99.9675,0.0983,1.9187,0.0444,
16,69270,2309867.8673,99.9675,0.0988,2.0185,0.0468,
17,69276,2310083.0006,99.9837,0.1048,2.0630,0.0479,
18,69284,2310306.4766,99.9783,0.0993,2.0313,0.0471,
19,69289,2310521.3869,99.9864,0.0894,1.9718,0.0457,
20,69296,2310746.9183,99.9837,0.0962,1.9837,0.0460,
21,69303,2310966.3260,99.9783,0.0906,1.9941,0.0465,
22,69309,2311185.9644,99.9756,0.1054,1.9134,0.0443,
23,69315,2311414.4075,99.9675,0.0963,1.9703,0.0455,
24,69323,2311651.9656,99.9783,0.0979,1.9415,0.0450,
