Device Info:
Type:,Intel RealSense D435
HW Id:,0B07
Serial Num:,819112072284
Firmware Ver:,05.11.01.00

Streaming profile:
Stream,Format,Resolution,FPS
Depth,Z16,1280x720,30
Infrared 1,Y8,1280x720,30

Environment:
Plane-Fit_distance_mm,304,672211
Ground-Truth_Distance_mm,303

Sample Id,Frame #,Timestamp (ms),Fill-Rate %,Z Accuracy %,Plane Fit RMS Error %,Subpixel RMS Error (pixel),
0,28518,968363.8847,99.8138,0.6288,0.7897,0.0900,
1,29010,968581.3959,99.7976,0.6368,0.8125,0.0921,
2,29016,968802.6973,99.8152,0.6384,0.8041,0.0910,
3,29022,969022.3953,99.8152,0.6394,0.8051,0.0914,
4,29028,969242.3249,99.8145,0.6363,0.7991,0.0908,
5,29034,969462.9075,99.8260,0.6384,0.8186,0.0927,
6,29040,969678.6777,99.8246,0.6385,0.8039,0.0914,
7,29047,969894.9210,99.8105,0.6400,0.8140,0.0925,
8,29052,970111.0642,99.8152,0.6372,0.7838,0.0896,
9,29061,970333.5514,99.8071,0.6330,0.7984,0.0903,
10,29067,970564.8400,99.8030,0.6304,0.7852,0.0894,
11,29073,970796.4859,99.8057,0.6333,0.7924,0.0902,
12,29080,971016.5916,99.8118,0.6313,0.8004,0.0909,
13,29085,971234.5748,99.8199,0.6312,0.7895,0.0897,
14,29092,971470.4059,99.8172,0.6336,0.8022,0.0908,
15,29098,971686.4069,99.8125,0.6328,0.8066,0.0909,
16,29105,971903.5885,99.8111,0.6281,0.7867,0.0897,
17,29112,972123.9140,99.8017,0.6324,0.7976,0.0906,
18,29119,972367.6538,99.7862,0.6312,0.7889,0.0896,
19,29126,972598.1681,99.8138,0.6331,0.7956,0.0904,
20,29133,972820.5815,99.8226,0.6304,0.7951,0.0902,
21,29139,973054.4195,99.8057,0.6296,0.7970,0.0903,
22,29146,973288.3451,99.8091,0.6349,0.7957,0.0902,
23,29153,973521.6111,99.8138,0.6310,0.7983,0.0909,
24,29160,973762.1327,99.8186,0.6306,0.8076,0.0919,
25,29168,973985.5534,99.8192,0.6316,0.7896,0.0898,
26,29174,974205.6860,99.8165,0.6292,0.7954,0.0907,
27,29181,974427.6006,99.8064,0.6299,0.8001,0.0913,
28,29187,974649.9390,99.8199,0.6364,0.8014,0.0905,
29,29194,974868.7255,99.8017,0.6323,0.8083,0.0916,
30,29201,975089.5061,99.7943,0.6326,0.8024,0.0912,
